"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣公館鄉","尖山村","546","1775","949","826",254,206,163,148,227,176,104,99,40,67,788,696
"10309","苗栗縣公館鄉","玉泉村","858","2803","1425","1378",324,310,311,319,302,288,123,106,40,45,1100,1068
"10309","苗栗縣公館鄉","玉谷村","550","1704","874","830",214,200,188,195,193,188,75,63,27,37,697,683
"10309","苗栗縣公館鄉","石墻村","484","1833","987","846",241,194,186,156,223,172,122,88,30,52,802,662
"10309","苗栗縣公館鄉","福基村","411","1307","671","636",144,136,134,112,159,132,60,80,41,38,538,498
"10309","苗栗縣公館鄉","福德村","173","449","247","202",46,44,47,35,78,52,30,22,13,19,214,172
"10309","苗栗縣公館鄉","福星村","729","2499","1314","1185",326,277,276,260,262,230,118,124,38,38,1020,929
"10309","苗栗縣公館鄉","開礦村","158","365","198","167",37,32,26,33,73,38,28,31,15,16,179,150
"10309","苗栗縣公館鄉","館中村","665","2056","1021","1035",220,214,214,197,212,205,117,123,42,62,805,801
"10309","苗栗縣公館鄉","館南村","1253","4279","2156","2123",534,509,452,443,422,428,153,192,59,66,1620,1638
"10309","苗栗縣公館鄉","館東村","929","3057","1528","1529",324,334,314,287,308,297,173,177,38,67,1157,1162
"10309","苗栗縣公館鄉","鶴山村","523","1800","968","832",252,185,202,155,194,179,97,105,36,51,781,675
"10309","苗栗縣公館鄉","鶴岡村","592","1903","986","917",222,217,207,193,221,167,106,113,31,45,787,735
"10309","苗栗縣銅鑼鄉","中平村","1192","3772","1997","1775",468,425,403,385,462,372,202,193,58,80,1593,1455
"10309","苗栗縣銅鑼鄉","九湖村","443","1503","834","669",171,140,172,144,188,116,88,83,41,55,660,538
"10309","苗栗縣銅鑼鄉","新隆村","278","702","394","308",66,51,79,65,95,54,65,47,25,33,330,250
"10309","苗栗縣銅鑼鄉","朝陽村","695","2061","1072","989",241,218,238,203,254,218,114,106,49,55,896,800
"10309","苗栗縣銅鑼鄉","樟樹村","485","1625","865","760",198,202,180,131,210,137,105,88,24,50,717,608
"10309","苗栗縣銅鑼鄉","盛隆村","207","514","303","211",37,30,58,43,89,32,51,43,24,31,259,179
"10309","苗栗縣銅鑼鄉","福興村","411","1274","649","625",134,124,151,135,154,133,55,75,39,34,533,501
"10309","苗栗縣銅鑼鄉","竹森村","445","1331","728","603",150,128,155,120,200,130,78,81,38,46,621,505
"10309","苗栗縣銅鑼鄉","興隆村","254","692","373","319",57,54,68,45,94,60,66,74,34,36,319,269
"10309","苗栗縣銅鑼鄉","銅鑼村","1718","5477","2837","2640",708,640,536,511,627,591,283,299,107,142,2261,2183
"10309","苗栗縣南庄鄉","南富村","492","1307","689","618",112,109,173,124,180,138,82,93,37,56,584,520
"10309","苗栗縣南庄鄉","南江村","586","1700","927","773",194,160,227,149,192,136,96,113,25,50,734,608
"10309","苗栗縣南庄鄉","員林村","416","1248","686","562",127,129,137,105,183,101,82,75,39,50,568,460
"10309","苗栗縣南庄鄉","東村","534","1380","770","610",124,116,193,104,178,122,98,120,41,53,634,515
"10309","苗栗縣南庄鄉","東河村","469","1231","688","543",149,130,171,103,171,113,47,54,18,19,556,419
"10309","苗栗縣南庄鄉","獅山村","391","980","545","435",100,77,127,72,130,97,83,85,26,40,466,371
"10309","苗栗縣南庄鄉","田美村","384","979","535","444",75,78,141,70,130,111,65,73,25,36,436,368
"10309","苗栗縣南庄鄉","蓬萊村","403","1071","603","468",108,93,138,95,159,98,61,54,23,30,489,370
"10309","苗栗縣南庄鄉","西村","307","795","419","376",77,81,119,84,88,72,49,64,19,21,352,322
"10309","苗栗縣頭屋鄉","北坑村","294","916","470","446",105,111,94,97,119,88,49,43,19,21,386,360
"10309","苗栗縣頭屋鄉","明德村","435","1226","659","567",121,119,162,101,148,129,88,90,30,48,549,487
"10309","苗栗縣頭屋鄉","曲洞村","329","1067","567","500",123,120,123,94,137,104,69,69,29,40,481,427
"10309","苗栗縣頭屋鄉","獅潭村","608","2037","1082","955",281,219,219,193,259,215,107,97,28,43,894,767
"10309","苗栗縣頭屋鄉","象山村","686","2304","1187","1117",266,272,286,226,259,246,115,110,52,62,978,916
"10309","苗栗縣頭屋鄉","頭屋村","945","2965","1536","1429",352,339,354,295,330,287,164,194,73,75,1273,1190
"10309","苗栗縣頭屋鄉","飛鳳村","199","477","261","216",32,48,54,40,74,41,40,36,16,22,216,187
"10309","苗栗縣頭屋鄉","鳴鳳村","151","377","207","170",30,28,52,38,66,39,28,34,17,20,193,159
"10309","苗栗縣三義鄉","勝興村","1319","4229","2157","2072",607,563,395,428,507,485,151,131,47,79,1707,1686
"10309","苗栗縣三義鄉","<U+53CC>湖村","738","2282","1207","1075",265,254,251,206,262,222,132,112,47,72,957,866
"10309","苗栗縣三義鄉","<U+53CC>潭村","541","1720","927","793",215,173,173,150,223,164,120,109,46,43,777,639
"10309","苗栗縣三義鄉","廣盛村","1562","5205","2675","2530",619,582,578,521,566,540,264,285,95,110,2122,2038
"10309","苗栗縣三義鄉","西湖村","592","1775","954","821",237,199,179,165,244,194,75,84,40,42,775,684
"10309","苗栗縣三義鄉","鯉魚潭村","545","1561","863","698",183,147,172,160,225,146,102,74,31,45,713,572
"10309","苗栗縣三義鄉","龍騰村","178","498","261","237",43,57,68,53,71,42,34,31,13,16,229,199
"10309","苗栗縣西湖鄉","三湖村","411","1095","618","477",121,95,128,87,161,84,88,84,41,65,539,415
"10309","苗栗縣西湖鄉","下埔村","233","683","375","308",59,61,97,58,96,57,52,56,27,28,331,260
"10309","苗栗縣西湖鄉","二湖村","252","805","469","336",110,66,103,60,94,53,71,60,18,29,396,268
"10309","苗栗縣西湖鄉","五湖村","380","1036","562","474",84,100,99,80,167,93,90,76,35,51,475,400
